coordinate_setting,model,species,split_type,n_test_plots,k_neighbours,permutations,morans_i,permutation_p
with_coords,Logistic_multi_interactions_with_coords,Cacophis kreftii,random,128,8,999,0.09384719396247851,0.018
with_coords,Logistic_multi_interactions_with_coords,Cacophis kreftii,spatial,128,8,999,0.218424879757908,0.001
with_coords,Logistic_multi_interactions_with_coords,Calyptotis scutirostrum,random,128,8,999,-0.004972572089788018,0.929
with_coords,Logistic_multi_interactions_with_coords,Calyptotis scutirostrum,spatial,128,8,999,0.17283638703049758,0.001
with_coords,Logistic_multi_interactions_with_coords,Coeranoscincus reticulatus,random,128,8,999,0.1762896374051839,0.001
with_coords,Logistic_multi_interactions_with_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.3328331092396059,0.001
with_coords,Logistic_multi_interactions_with_coords,Egernia mcpheei,random,128,8,999,-0.01482405871200354,0.716
with_coords,Logistic_multi_interactions_with_coords,Egernia mcpheei,spatial,128,8,999,0.035216081645157465,0.39
with_coords,Logistic_multi_interactions_with_coords,Eulamprus murrayi,random,128,8,999,0.0019125876625076268,0.893
with_coords,Logistic_multi_interactions_with_coords,Eulamprus murrayi,spatial,128,8,999,0.6684836879494541,0.001
with_coords,Logistic_multi_interactions_with_coords,Ophioscincus truncatus,random,128,8,999,0.13629529186511657,0.005
with_coords,Logistic_multi_interactions_with_coords,Ophioscincus truncatus,spatial,128,8,999,0.11549077360331005,0.006
with_coords,Logistic_multi_interactions_with_coords,Pseudechis porphyricaus,random,128,8,999,-0.003666356622265238,0.952
with_coords,Logistic_multi_interactions_with_coords,Pseudechis porphyricaus,spatial,128,8,999,0.004685408231398194,0.826
with_coords,Logistic_multi_interactions_with_coords,Saltuarius swaini,random,128,8,999,-0.03416105895886943,0.002
with_coords,Logistic_multi_interactions_with_coords,Saltuarius swaini,spatial,128,8,999,0.6415299602672243,0.001
with_coords,Logistic_multi_with_coords,Cacophis kreftii,random,128,8,999,0.06445414877964029,0.045
with_coords,Logistic_multi_with_coords,Cacophis kreftii,spatial,128,8,999,0.03478569966811458,0.058
with_coords,Logistic_multi_with_coords,Calyptotis scutirostrum,random,128,8,999,0.16006161687985318,0.003
with_coords,Logistic_multi_with_coords,Calyptotis scutirostrum,spatial,128,8,999,0.182390449150292,0.003
with_coords,Logistic_multi_with_coords,Coeranoscincus reticulatus,random,128,8,999,0.26553580417925693,0.001
with_coords,Logistic_multi_with_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.4361186414318619,0.001
with_coords,Logistic_multi_with_coords,Egernia mcpheei,random,128,8,999,0.041748374284385444,0.147
with_coords,Logistic_multi_with_coords,Egernia mcpheei,spatial,128,8,999,-0.005868087221352503,0.848
with_coords,Logistic_multi_with_coords,Eulamprus murrayi,random,128,8,999,0.004430402597032349,0.76
with_coords,Logistic_multi_with_coords,Eulamprus murrayi,spatial,128,8,999,0.6603368465136068,0.001
with_coords,Logistic_multi_with_coords,Ophioscincus truncatus,random,128,8,999,0.15607468170468486,0.001
with_coords,Logistic_multi_with_coords,Ophioscincus truncatus,spatial,128,8,999,0.27943861974784034,0.001
with_coords,Logistic_multi_with_coords,Pseudechis porphyricaus,random,128,8,999,0.009583338959080402,0.955
with_coords,Logistic_multi_with_coords,Pseudechis porphyricaus,spatial,128,8,999,0.0002188878575131775,0.995
with_coords,Logistic_multi_with_coords,Saltuarius swaini,random,128,8,999,0.025089230135253972,0.031
with_coords,Logistic_multi_with_coords,Saltuarius swaini,spatial,128,8,999,0.6642282708405107,0.001
with_coords,Logistic_single_with_coords,Cacophis kreftii,random,128,8,999,0.11469291838224686,0.007
with_coords,Logistic_single_with_coords,Cacophis kreftii,spatial,128,8,999,0.12385883615569984,0.001
with_coords,Logistic_single_with_coords,Calyptotis scutirostrum,random,128,8,999,-0.01644118353357269,0.689
with_coords,Logistic_single_with_coords,Calyptotis scutirostrum,spatial,128,8,999,0.17284711419711654,0.002
with_coords,Logistic_single_with_coords,Coeranoscincus reticulatus,random,128,8,999,0.17516096907074422,0.001
with_coords,Logistic_single_with_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.3775073269725477,0.001
with_coords,Logistic_single_with_coords,Egernia mcpheei,random,128,8,999,0.02497737355742894,0.48
with_coords,Logistic_single_with_coords,Egernia mcpheei,spatial,128,8,999,0.003419491808345715,0.927
with_coords,Logistic_single_with_coords,Eulamprus murrayi,random,128,8,999,-0.0031000252918535116,0.955
with_coords,Logistic_single_with_coords,Eulamprus murrayi,spatial,128,8,999,0.7069488677485257,0.001
with_coords,Logistic_single_with_coords,Ophioscincus truncatus,random,128,8,999,0.14649198048887827,0.002
with_coords,Logistic_single_with_coords,Ophioscincus truncatus,spatial,128,8,999,0.12152637845461706,0.004
with_coords,Logistic_single_with_coords,Pseudechis porphyricaus,random,128,8,999,0.0013325755879703147,0.973
with_coords,Logistic_single_with_coords,Pseudechis porphyricaus,spatial,128,8,999,-0.0004355829931609265,0.983
with_coords,Logistic_single_with_coords,Saltuarius swaini,random,128,8,999,-0.011634490807562937,0.118
