model,species,random,spatial,optimism_gap_auc,morans_i
MLP_multi_no_coords,Cacophis kreftii,0.8346774193548387,0.8740157480314961,-0.03933832867665732,0.25418917085675086
MLP_multi_no_coords,Calyptotis scutirostrum,0.9168526785714286,0.728428093645485,0.1884245849259436,0.21210547859746617
MLP_multi_no_coords,Coeranoscincus reticulatus,0.7856481481481481,0.7355113636363636,0.05013678451178449,0.3223878598892786
MLP_multi_no_coords,Egernia mcpheei,0.9146666666666666,0.755464480874317,0.15920218579234968,0.01568112460181071
MLP_multi_no_coords,Eulamprus murrayi,0.4251968503937008,,,0.4660897169511897
MLP_multi_no_coords,Ophioscincus truncatus,0.8129713423831071,0.8849498327759198,-0.07197849039281268,0.0960001547411769
MLP_multi_no_coords,Pseudechis porphyricaus,0.5653333333333334,0.6825396825396826,-0.1172063492063492,-0.001030349939422569
MLP_multi_no_coords,Saltuarius swaini,0.6692913385826772,,,0.515450926530367
MLP_multi_with_coords,Cacophis kreftii,0.9213709677419355,0.8740157480314961,0.04735521971043943,0.3567789946212183
MLP_multi_with_coords,Calyptotis scutirostrum,0.9207589285714286,0.7003344481605351,0.22042448041089346,0.16784158743905814
MLP_multi_with_coords,Coeranoscincus reticulatus,0.8342592592592593,0.7582386363636363,0.07602062289562295,0.3141572918625753
MLP_multi_with_coords,Egernia mcpheei,0.9013333333333333,0.7759562841530054,0.12537704918032788,0.027113630577474235
MLP_multi_with_coords,Eulamprus murrayi,0.07086614173228346,,,0.3691161926491888
MLP_multi_with_coords,Ophioscincus truncatus,0.8299396681749623,0.8782608695652174,-0.048321201390255086,0.07326663884484322
MLP_multi_with_coords,Pseudechis porphyricaus,0.45866666666666667,0.7142857142857143,-0.25561904761904763,0.005713691758350805
MLP_multi_with_coords,Saltuarius swaini,0.8818897637795275,,,0.5831681404345579
MLP_single_no_coords,Cacophis kreftii,0.655241935483871,0.8976377952755905,-0.24239585979171951,0.2756732880891126
MLP_single_no_coords,Calyptotis scutirostrum,0.9330357142857143,0.7672240802675585,0.1658116340181558,0.13110114931251995
MLP_single_no_coords,Coeranoscincus reticulatus,0.8203703703703704,0.7735795454545454,0.04679082491582498,0.2248107874415201
MLP_single_no_coords,Egernia mcpheei,0.736,0.6939890710382514,0.04201092896174863,-0.01054470936510069
MLP_single_no_coords,Eulamprus murrayi,0.047244094488188976,,,0.4618722729730724
MLP_single_no_coords,Ophioscincus truncatus,0.7688536953242836,0.9083612040133779,-0.13950750868909434,0.082377565537228
MLP_single_no_coords,Pseudechis porphyricaus,0.7253333333333334,0.7777777777777778,-0.052444444444444405,-0.015931315861924318
MLP_single_no_coords,Saltuarius swaini,0.5433070866141733,,,0.5597888739732226
MLP_single_with_coords,Cacophis kreftii,0.8346774193548387,0.9921259842519685,-0.15744856489712977,0.22735569788386198
MLP_single_with_coords,Calyptotis scutirostrum,0.9458705357142857,0.7518394648829432,0.19403107083134252,0.21178169715380574
MLP_single_with_coords,Coeranoscincus reticulatus,0.8601851851851852,0.7360795454545455,0.1241056397306397,0.32659141706021455
MLP_single_with_coords,Egernia mcpheei,0.7653333333333333,0.6844262295081968,0.08090710382513655,-0.0016017211714397612
MLP_single_with_coords,Eulamprus murrayi,0.015748031496062992,,,0.5694643562762396
MLP_single_with_coords,Ophioscincus truncatus,0.8156108597285068,0.8822742474916387,-0.06666338776313196,0.07190118906315121
MLP_single_with_coords,Pseudechis porphyricaus,0.632,0.8650793650793651,-0.2330793650793651,-0.019639013151867484
MLP_single_with_coords,Saltuarius swaini,0.8110236220472441,,,0.7494569338419813
