coordinate_setting,model,species,split_type,n_test_plots,k_neighbours,permutations,morans_i,permutation_p
with_coords,RF_multi_interactions_with_coords,Cacophis kreftii,random,128,8,999,0.21166937488069076,0.001
with_coords,RF_multi_interactions_with_coords,Cacophis kreftii,spatial,128,8,999,0.6400839833932392,0.001
with_coords,RF_multi_interactions_with_coords,Calyptotis scutirostrum,random,128,8,999,-0.03935229726915434,0.334
with_coords,RF_multi_interactions_with_coords,Calyptotis scutirostrum,spatial,128,8,999,0.2489565611207762,0.001
with_coords,RF_multi_interactions_with_coords,Coeranoscincus reticulatus,random,128,8,999,0.11382017508841422,0.004
with_coords,RF_multi_interactions_with_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.2063428523944629,0.001
with_coords,RF_multi_interactions_with_coords,Egernia mcpheei,random,128,8,999,0.11148481307579322,0.006
with_coords,RF_multi_interactions_with_coords,Egernia mcpheei,spatial,128,8,999,-0.0761099406897332,0.041
with_coords,RF_multi_interactions_with_coords,Eulamprus murrayi,random,128,8,999,0.041496355114908665,0.055
with_coords,RF_multi_interactions_with_coords,Eulamprus murrayi,spatial,128,8,999,0.6143195579611263,0.001
with_coords,RF_multi_interactions_with_coords,Ophioscincus truncatus,random,128,8,999,0.0731279157537593,0.057
with_coords,RF_multi_interactions_with_coords,Ophioscincus truncatus,spatial,128,8,999,0.439376208607097,0.001
with_coords,RF_multi_interactions_with_coords,Pseudechis porphyricaus,random,128,8,999,0.07146349781909639,0.053
with_coords,RF_multi_interactions_with_coords,Pseudechis porphyricaus,spatial,128,8,999,-0.008379100393984923,0.727
with_coords,RF_multi_interactions_with_coords,Saltuarius swaini,random,128,8,999,0.09634545594574691,0.004
with_coords,RF_multi_interactions_with_coords,Saltuarius swaini,spatial,128,8,999,0.7519185159255632,0.001
with_coords,RF_multi_with_coords,Cacophis kreftii,random,128,8,999,0.1858931572994176,0.001
with_coords,RF_multi_with_coords,Cacophis kreftii,spatial,128,8,999,0.6399190195186119,0.001
with_coords,RF_multi_with_coords,Calyptotis scutirostrum,random,128,8,999,-0.03580294055184114,0.376
with_coords,RF_multi_with_coords,Calyptotis scutirostrum,spatial,128,8,999,0.2473187117172123,0.001
with_coords,RF_multi_with_coords,Coeranoscincus reticulatus,random,128,8,999,0.09451230864375874,0.017
with_coords,RF_multi_with_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.23330041449163474,0.001
with_coords,RF_multi_with_coords,Egernia mcpheei,random,128,8,999,0.09798177025771901,0.012
with_coords,RF_multi_with_coords,Egernia mcpheei,spatial,128,8,999,-0.04820234571892462,0.213
with_coords,RF_multi_with_coords,Eulamprus murrayi,random,128,8,999,0.034771449258704575,0.038
with_coords,RF_multi_with_coords,Eulamprus murrayi,spatial,128,8,999,0.4780892482880604,0.001
with_coords,RF_multi_with_coords,Ophioscincus truncatus,random,128,8,999,0.0731794023919571,0.072
with_coords,RF_multi_with_coords,Ophioscincus truncatus,spatial,128,8,999,0.3986394802333614,0.001
with_coords,RF_multi_with_coords,Pseudechis porphyricaus,random,128,8,999,0.06403599800078998,0.079
with_coords,RF_multi_with_coords,Pseudechis porphyricaus,spatial,128,8,999,0.00792244509720843,0.753
with_coords,RF_multi_with_coords,Saltuarius swaini,random,128,8,999,0.02875918566290199,0.17
with_coords,RF_multi_with_coords,Saltuarius swaini,spatial,128,8,999,0.7261605581099884,0.001
with_coords,RF_single_with_coords,Cacophis kreftii,random,128,8,999,0.2143334795633597,0.001
with_coords,RF_single_with_coords,Cacophis kreftii,spatial,128,8,999,0.709860831755697,0.001
with_coords,RF_single_with_coords,Calyptotis scutirostrum,random,128,8,999,-0.05036447809378813,0.206
with_coords,RF_single_with_coords,Calyptotis scutirostrum,spatial,128,8,999,0.16833304480376673,0.001
with_coords,RF_single_with_coords,Coeranoscincus reticulatus,random,128,8,999,0.08773611615755561,0.029
with_coords,RF_single_with_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.2017009820991717,0.001
with_coords,RF_single_with_coords,Egernia mcpheei,random,128,8,999,0.09290744822616726,0.014
with_coords,RF_single_with_coords,Egernia mcpheei,spatial,128,8,999,-0.029230328990386998,0.44
with_coords,RF_single_with_coords,Eulamprus murrayi,random,128,8,999,0.008994252964259843,0.432
with_coords,RF_single_with_coords,Eulamprus murrayi,spatial,128,8,999,0.44243129648858925,0.001
with_coords,RF_single_with_coords,Ophioscincus truncatus,random,128,8,999,0.0706391869542852,0.069
with_coords,RF_single_with_coords,Ophioscincus truncatus,spatial,128,8,999,0.35778661931711836,0.001
with_coords,RF_single_with_coords,Pseudechis porphyricaus,random,128,8,999,0.08905223782906961,0.018
with_coords,RF_single_with_coords,Pseudechis porphyricaus,spatial,128,8,999,-0.00950044056532128,0.679
with_coords,RF_single_with_coords,Saltuarius swaini,random,128,8,999,0.1384098905137347,0.001
with_coords,RF_single_with_coords,Saltuarius swaini,spatial,128,8,999,0.798194752700377,0.001
no_coords,RF_multi_interactions_no_coords,Cacophis kreftii,random,128,8,999,0.09791589426991794,0.009
no_coords,RF_multi_interactions_no_coords,Cacophis kreftii,spatial,128,8,999,0.5802213011979837,0.001
no_coords,RF_multi_interactions_no_coords,Calyptotis scutirostrum,random,128,8,999,-0.004971050971675545,0.922
no_coords,RF_multi_interactions_no_coords,Calyptotis scutirostrum,spatial,128,8,999,0.22243796993896287,0.001
no_coords,RF_multi_interactions_no_coords,Coeranoscincus reticulatus,random,128,8,999,0.05998749817866202,0.138
no_coords,RF_multi_interactions_no_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.16800540701246583,0.001
no_coords,RF_multi_interactions_no_coords,Egernia mcpheei,random,128,8,999,0.02612445007324789,0.52
no_coords,RF_multi_interactions_no_coords,Egernia mcpheei,spatial,128,8,999,-0.08557548926260454,0.025
no_coords,RF_multi_interactions_no_coords,Eulamprus murrayi,random,128,8,999,0.004827396609986543,0.551
no_coords,RF_multi_interactions_no_coords,Eulamprus murrayi,spatial,128,8,999,0.16984531320035734,0.002
